Ano de Cobertura,Grupo Numero,Grupo Descripcion ,Montos Pagados,Distribucion Porcentual 
2015,0.0,Total de Montos Pagados  2015,29102755348.109997,1.0
2015,1.0,Prevención y Promoción,616054558.87,0.02116825542808984
2015,2.0,Atención Ambulatoria,1738261351.07,0.059728411632436265
2015,3.0,Servicios Odontológicos,482357367.35,0.01657428520359415
2015,4.0,Emergencia,2462635897.59,0.0846186509879701
2015,5.0,Hospitalización,5001671528.73,0.17186247380713457
2015,6.0,Partos,1680144555.14,0.05773145996119961
2015,7.0,Cirugía,4878346052.0,0.16762488615418372
2015,8.0,Apoyo Diagnóstico (Dx) en Internamiento y Ambulatoria,5965387628.160001,0.20497673010014178
2015,9.0,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,4116226353.33,0.14143768533577414
2015,10.0,Rehabilitación,334390720.07,0.011490002100152216
2015,11.0,Hemoterapia,14896191.66,0.0005118481560189246
2015,12.0,Medicamentos Ambulatorios,1812383144.1399999,0.062275311133304784
2016,0.0,Total de Montos Pagados 2016,33985935378.75,1.0
2016,1.0,Prevención y Promoción,625127374.9300001,0.018393708101995226
2016,2.0,Atención Ambulatoria,1991755774.98,0.05860529518411792
2016,3.0,Servicios Odontológicos,560106298.21,0.016480532077990453
2016,4.0,Emergencia,2935983197.8399997,0.08638818279151289
2016,5.0,Hospitalización,5062656087.23,0.14896327056501935
2016,6.0,Partos,1747731989.15,0.05142515483751507
2016,7.0,Cirugía,5823075180.79,0.1713377935871357
2016,8.0,Apoyo Diagnóstico (Dx) en Internamiento y Ambulatoria,6708973490.469999,0.19740440907990553
2016,9.0,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,4962450780.12,0.14601483598485318
2016,10.0,Rehabilitación,446329122.89,0.013132759711214867
2016,11.0,Hemoterapia,19981281.63,0.0005879279592373223
2016,12.0,Medicamentos Ambulatorios,3101764800.51,0.09126613011950248
2017,0.0,Total de Montos Pagados 2017,38078018746.29,1.0
2017,1.0,Prevención y Promoción,613499326.85,0.01611163991849692
2017,2.0,Atención Ambulatoria,2310421123.5800004,0.06067598051710892
2017,3.0,Servicios Odontológicos,640884000.9599999,0.016830812685663752
2017,4.0,Emergencia,3112715570.39,0.08174573344085231
2017,5.0,Hospitalización,5119231637.63,0.13444059870181074
2017,6.0,Partos,1940391616.61,0.05095831349678757
2017,7.0,Cirugía,7065482612.13,0.1855527898971477
2017,8.0,Apoyo Diagnóstico (Dx) en Internamiento y Ambulatoria,7320308687.96,0.19224499931927863
2017,9.0,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,5784367431.1,0.15190830882354087
2017,10.0,Rehabilitación,444336995.52,0.011669120667243025
2017,11.0,Hemoterapia,25765097.49,0.0006766396555889698
2017,12.0,Medicamentos Ambulatorios,3700614646.07,0.09718506287648059
2018,0.0,Total de Montos Pagados 2018,43805273097.159996,1.0
2018,1.0,Prevención y Promoción,782571351.72,0.01786477509189952
2018,2.0,Atención Ambulatoria,2733412888.46,0.06239917469290276
2018,3.0,Servicios Odontológicos,653430705.01,0.014916713418512246
2018,4.0,Emergencia,3443842521.02,0.07861707683870764
2018,5.0,Hospitalización,5322391867.0,0.12150116848250088
2018,6.0,Partos,2102040547.53,0.0479860162694952
2018,7.0,Cirugía,8091836660.45,0.1847228903813092
2018,8.0,Apoyo Diagnóstico (Dx) en Internamiento y Ambulatoria,8524543169.87,0.194600845221592
2018,9.0,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,7253958692.400001,0.16559555915359178
2018,10.0,Rehabilitación,554764872.86,0.012664340012891434
2018,11.0,Hemoterapia,28030413.34,0.000639886738699896
2018,12.0,Medicamentos Ambulatorios,4314449407.5,0.09849155369789754
2019,0.0,Total de Montos Pagados 2019,50160923709.89,1.0
2019,1.0,Prevención y Promoción,1099255269.3799999,0.02191457389695686
2019,2.0,Atención Ambulatoria,3212369456.52,0.06404127394262144
2019,3.0,Servicios Odontológicos,688289160.76,0.013721620533560732
2019,4.0,Emergencia,3901753139.25,0.0777847146877941
2019,5.0,Hospitalización,6134210673.42,0.12229062424961974
2019,6.0,Partos,2148034112.84,0.0428228579932726
2019,7.0,Cirugía,9306765248.91,0.18553815521293973
2019,8.0,Apoyo Diagnóstico (Dx) en Internamiento y Ambulatoria,9914100644.69,0.19764589468146662
2019,9.0,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,8172722604.57,0.16293006587832476
2019,10.0,Rehabilitación,675102510.98,0.013458733632668194
2019,11.0,Hemoterapia,29030451.09,0.000578746341632385
2019,12.0,Medicamentos Ambulatorios,4879290437.48,0.09727273894914285
2020,0.0,Total de Montos Pagados 2020,48886270479.03,1.0
2020,1.0,Prevención y Promoción,1087257543.93,0.02224055002102041
2020,2.0,Atención Ambulatoria,3447239287.4,0.07051548939244015
2020,3.0,Servicios Odontológicos,516649550.1,0.010568397732889428
2020,4.0,Emergencia,3151092463.9,0.06445761628004894
2020,5.0,Hospitalización,7197567474.349999,0.1472308565129228
2020,6.0,Partos,2125877636.7,0.04348618980071113
2020,7.0,Cirugía,8072646356.29,0.16513115599098116
2020,8.0,Apoyo Diagnóstico (Dx) en Internamiento y Ambulatoria,9346947914.29,0.19119781121980697
2020,9.0,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,8581188080.65,0.17553370295103493
2020,10.0,Rehabilitación,485271826.59,0.009926546284567968
2020,11.0,Hemoterapia,28926570.99,0.0005917115522733155
2020,12.0,Medicamentos Ambulatorios,4845605773.839999,0.0991199722613028
2021,0.0,Total de Montos Pagados 2021,61187373883.84,1.0
2021,1.0,Prevención y Promoción,1272795760.18,0.020801607903557274
2021,2.0,Atención Ambulatoria,4326967369.360001,0.07071667069049979
2021,3.0,Servicios Odontológicos,620476863.3599999,0.010140602937755303
2021,4.0,Emergencia,3614389404.72,0.059070837254458226
2021,5.0,Hospitalización,8183387458.67,0.13374307376233527
2021,6.0,Partos,2186704225.65,0.03573783424340628
2021,7.0,Cirugía,11549085464.51,0.18874948754027493
2021,8.0,Apoyo Diagnóstico (Dx) en Internamiento y Ambulatoria,12520102773.74,0.2046190574792203
2021,9.0,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,10091281639.18,0.16492424823359148
2021,10.0,Rehabilitación,756845599.96,0.012369310070355678
2021,11.0,Hemoterapia,35334524.78,0.0005774806555202084
2021,12.0,Medicamentos Ambulatorios,6024754207.35,0.09846401021863727
2021,13.0,Trasplante Renal,5248592.38,8.577901038805964e-05
2022,0.0,Total de Montos Pagados 2022,68824776011.17001,1.0
2022,1.0,Prevención y Promoción,1502454674.48,0.021830142596267324
2022,2.0,Atención Ambulatoria,4792768083.47,0.06963724927622214
2022,3.0,Servicios Odontológicos,685471934.42,0.009959668220478484
2022,4.0,Emergencia,4345528850.95,0.06313901915561246
2022,5.0,Hospitalización,7997499898.0,0.11620088522630331
2022,6.0,Partos,2627394990.94,0.03817513318915246
2022,7.0,Cirugía,14079268531.13,0.2045668630849592
2022,8.0,Apoyo Diagnóstico (Dx) en Internamiento y Ambulatoria,14062819280.08,0.20432786120215857
2022,9.0,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,10685110089.18,0.15525092428118975
2022,10.0,Rehabilitación,921511454.91,0.013389240159102617
2022,11.0,Hemoterapia,35426310.06,0.0005147319339513787
2022,12.0,Medicamentos Ambulatorios,7009064720.78,0.10183926671468504
2022,13.0,Trasplante Renal,80457192.77,0.001169014959917081
2023,0.0,Total de Montos Pagados 2023,53052938906.899994,1.0
2023,1.0,Prevención y Promoción,1368526259.37,0.02579548442682053
2023,2.0,Atención Ambulatoria,3294837168.7799997,0.062104705915763656
2023,3.0,Servicios Odontológicos,565277618.0,0.010654972743206141
2023,4.0,Emergencia,3353624258.14,0.06321278947477559
2023,5.0,Hospitalización,6095991869.53,0.11490394302618291
2023,6.0,Partos,1860110456.53,0.03506140272067146
2023,7.0,Cirugía,10259563711.73,0.1933835132061959
2023,8.0,Apoyo Diagnóstico (Dx) en Internamiento y Ambulatoria,11634970168.39,0.21930868314020527
2023,9.0,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,8679958914.2,0.1636093889055239
2023,10.0,Rehabilitación,796400406.69,0.015011428642766882
2023,11.0,Hemoterapia,22316221.03,0.0004206406184049793
2023,12.0,Medicamentos Ambulatorios,4933586195.09,0.09299364553107434
2023,13.0,Trasplante Renal,187775659.42,0.003539401648408551
